"","PROBEID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC2000006446.hg.1","TC2000006446.hg.1","RBCK1","RANBP2-type and C3HC4-type zinc finger containing 1",1.73103291881503,9.26819367238146,25.7915541116238,8.76323277446783e-11,1.06672674667205e-06,13.8480563494302
"TC1000007990.hg.1","TC1000007990.hg.1","DDIT4","DNA damage inducible transcript 4",1.96625764621337,10.1334434756741,24.7689092633866,1.32776543026145e-10,1.06672674667205e-06,13.5848705161989
"TC1900007384.hg.1","TC1900007384.hg.1","GDF15","growth differentiation factor 15",1.39243704489979,10.3720873294478,23.5538925419711,2.2241034432384e-10,1.19122980419849e-06,13.2459902164686
"TC2000006444.hg.1","TC2000006444.hg.1","TRIB3","tribbles pseudokinase 3",1.64028566274358,9.72284997229587,22.257158100286,3.97119632391487e-10,1.5952295633166e-06,12.8494382861004
"TC1200010968.hg.1","TC1200010968.hg.1","DDIT3","DNA damage inducible transcript 3",1.92064251873015,7.78638457954981,21.3854765288886,5.97345802273965e-10,1.91963047018761e-06,12.5604294112984
"TC1500010723.hg.1","TC1500010723.hg.1","CHAC1","ChaC glutathione specific gamma-glutamylcyclotransferase 1",1.81465159623907,10.3537837762287,20.4705963954256,9.33108676768031e-10,2.1337977460995e-06,12.235735544646
"TC1700007585.hg.1","TC1700007585.hg.1","SLFN5","schlafen family member 5",1.73492347477502,8.31078530603487,20.4416542996565,9.46660674494341e-10,2.1337977460995e-06,12.2250858413427
"TC2200007204.hg.1","TC2200007204.hg.1","HMOX1","heme oxygenase 1",2.10520647005345,7.13320760189139,20.2115649591211,1.06238374214563e-09,2.1337977460995e-06,12.1395644134079
"TC1000010273.hg.1","TC1000010273.hg.1","NRP1","neuropilin 1",1.82565221570297,7.76671626331172,17.988592968866,3.46920715355739e-09,6.19369117148446e-06,11.2281870445848
"TC1100011446.hg.1","TC1100011446.hg.1","FGF19","fibroblast growth factor 19",1.52419142648033,9.53649969116164,17.746134264055,3.97995685464636e-09,6.39499467404576e-06,11.1185742161074
"TC0700007477.hg.1","TC0700007477.hg.1","UPP1","uridine phosphorylase 1",2.2824895380742,8.78223053554219,17.2944103059951,5.16514581429204e-09,7.54486935854951e-06,10.9084486764368
"TC0400011920.hg.1","TC0400011920.hg.1","SLC7A11","solute carrier family 7 member 11",1.31329168632957,9.70998112800798,16.3577577529186,9.05564078427942e-09,1.21255030101501e-05,10.4468118723616
"TC0300006483.hg.1","TC0300006483.hg.1","BHLHE40","basic helix-loop-helix family member e40",1.35937640434002,9.29675426733567,14.8322630192526,2.41715424724061e-08,2.98760264958939e-05,9.61170788893154
"TC1600011221.hg.1","TC1600011221.hg.1","MVD","mevalonate diphosphate decarboxylase",1.27083430058842,8.99371685355655,14.6713869560795,2.69525691143099e-08,3.09338486091951e-05,9.51702279479716
"TC0900006655.hg.1","TC0900006655.hg.1","LURAP1L","leucine rich adaptor protein 1 like",1.59046310170165,5.4565013262676,13.9729429299481,4.38114741580177e-08,4.69018437566455e-05,9.08994304079748
"TC2100007597.hg.1","TC2100007597.hg.1","HSPA13","heat shock protein family A (Hsp70) member 13",0.928855757300501,8.54949857222797,13.8833339586565,4.67033545000204e-08,4.69018437566455e-05,9.03319653737602
