"","Ctrl_1.CEL","Ctrl_2.CEL","Ctrl_3.CEL","Dom_1.CEL","Dom_2.CEL","Dom_3.CEL","N_D_3.CEL","N_D_4.CEL","N_D_5.CEL","NEN_2.CEL","NEN_3.CEL","NEN_5.CEL"
"23064070",8.34676800501663,8.56499819677377,8.2820093567367,8.51312895648159,8.55725075344261,8.72491007037767,8.60841757595793,8.75619813603195,8.4891291123,8.69118243702819,8.55435594429879,8.67176738281444
"23064071",7.21742148424344,7.464222936705,7.31705233074245,7.71417065993122,7.51218702538423,7.53088225888964,7.6170268574509,7.75957202451734,7.46606949959558,7.31361961550408,7.25767120083206,7.10758195910731
"23064072",4.97054136145528,4.98138006460485,5.05805283990229,4.59851264203625,4.79634568714826,3.98708759091797,4.3636892141554,3.85402019340218,3.44987464796243,4.43392979564434,3.29581648060853,3.95733364393099
"23064073",8.10617173842447,8.16765640838757,8.16047055041613,8.17110142707175,8.12141552215101,8.05118852771278,8.02405691158683,8.24380748312273,7.95059145364541,7.96816653390291,7.99031167342521,7.93247748901544
"23064074",5.13706862465734,5.14682420409321,4.92110919120969,5.31209323962437,5.76743436764884,5.11268345240528,4.88976529854377,4.43159164110665,4.4155733221092,4.63102543226531,4.18196298315338,4.41757309203752
"23064075",8.75393698418101,8.91800112954204,8.87588859768472,9.14612525945783,9.02390441941347,8.94491190910394,8.93451812552359,9.03767930559124,8.86713271535593,8.38211517361425,8.22681574515446,8.07547429568307
"23064076",6.22275554300456,6.39754854357871,6.43065661932811,6.36991312914736,6.30103723814869,6.173072656475,5.90988379552908,5.55037491114518,5.13210899788162,5.8164756508839,6.15540985232199,6.25236335938471
"23064077",8.13331288284302,8.15987633750196,8.31369210133677,8.11784005328291,8.38676518929554,8.27550561942973,8.16289554847526,8.31016348060727,8.12783939495164,7.8377241383164,8.07233861503828,8.33101751252166
"23064078",9.47297429119607,9.15628589370618,9.22674110568224,9.3521929327867,9.19369871375538,9.14279242330859,9.34848103069623,9.02777204208184,9.12125340230931,9.46837115354157,9.30036255582924,9.62217583744301
"23064092",8.45112957829477,8.17198359338788,8.17741328588731,8.02328919836088,7.85670368995737,7.90860900098126,6.88484054488748,6.76303261967601,6.48329767612585,7.01925879120966,7.07832257317614,7.1626425237959
